Sr. No.,State,Hon'ble Members of Parliaments,Constituency,Allocated AMOUNT ( ₹ ),state_clean,mp_clean,constituency_clean,allocated_amount,missing_state,missing_mp,missing_constituency,missing_amount,duplicate_record,extreme_amount,data_quality_score,data_quality_alert,record_type,ml_eligible,amount_numeric,amount_valid,log_amount,amount_percentile,robust_deviation,metadata_missing_count,metadata_risk,isolation_score,isolation_anomaly,statistical_score,percentile_signal,anomaly_score,risk_level,ai_explanation,requires_review,alert_priority
377,Telangana,RAMASAHAYAM RAGHURAM REDDY,KHAMMAM,147000000,Telangana,RAMASAHAYAM RAGHURAM REDDY,KHAMMAM,147000000.0,False,False,False,False,False,False,100.0,False,MP_RECORD,True,147000000.0,True,18.80594315154573,36.162361623616235,0.0,0,0.0,0.0,False,0.0,0,0.0,LOW,No strong anomaly signal detected,False,LOW
374,Assam,RAKIBUL HUSSAIN,DHUBRI,147000000,Assam,RAKIBUL HUSSAIN,DHUBRI,147000000.0,False,False,False,False,False,False,100.0,False,MP_RECORD,True,147000000.0,True,18.80594315154573,36.162361623616235,0.0,0,0.0,0.0,False,0.0,0,0.0,LOW,No strong anomaly signal detected,False,LOW
373,Uttar Pradesh,RAKESH RATHOR,SITAPUR,147000000,Uttar Pradesh,RAKESH RATHOR,SITAPUR,147000000.0,False,False,False,False,False,False,100.0,False,MP_RECORD,True,147000000.0,True,18.80594315154573,36.162361623616235,0.0,0,0.0,0.0,False,0.0,0,0.0,LOW,No strong anomaly signal detected,False,LOW
401,Karnataka,SAGAR ESHWAR KHANDRE,BIDAR,147000000,Karnataka,SAGAR ESHWAR KHANDRE,BIDAR,147000000.0,False,False,False,False,False,False,100.0,False,MP_RECORD,True,147000000.0,True,18.80594315154573,36.162361623616235,0.0,0,0.0,0.0,False,0.0,0,0.0,LOW,No strong anomaly signal detected,False,LOW
400,Tamil Nadu,SACHITHANANTHAM R,DINDIGUL,147000000,Tamil Nadu,SACHITHANANTHAM R,DINDIGUL,147000000.0,False,False,False,False,False,False,100.0,False,MP_RECORD,True,147000000.0,True,18.80594315154573,36.162361623616235,0.0,0,0.0,0.0,False,0.0,0,0.0,LOW,No strong anomaly signal detected,False,LOW
398,Tamil Nadu,S Venkatesan,MADURAI,147000000,Tamil Nadu,S Venkatesan,MADURAI,147000000.0,False,False,False,False,False,False,100.0,False,MP_RECORD,True,147000000.0,True,18.80594315154573,36.162361623616235,0.0,0,0.0,0.0,False,0.0,0,0.0,LOW,No strong anomaly signal detected,False,LOW
397,Nagaland,S SUPONGMEREN JAMIR,NAGALAND,147000000,Nagaland,S SUPONGMEREN JAMIR,NAGALAND,147000000.0,False,False,False,False,False,False,100.0,False,MP_RECORD,True,147000000.0,True,18.80594315154573,36.162361623616235,0.0,0,0.0,0.0,False,0.0,0,0.0,LOW,No strong anomaly signal detected,False,LOW
395,Uttar Pradesh,RUCHI VIRA,MORADABAD,147000000,Uttar Pradesh,RUCHI VIRA,MORADABAD,147000000.0,False,False,False,False,False,False,100.0,False,MP_RECORD,True,147000000.0,True,18.80594315154573,36.162361623616235,0.0,0,0.0,0.0,False,0.0,0,0.0,LOW,No strong anomaly signal detected,False,LOW
393,Madhya Pradesh,Rodmal Nagar,RAJGARH,147000000,Madhya Pradesh,Rodmal Nagar,RAJGARH,147000000.0,False,False,False,False,False,False,100.0,False,MP_RECORD,True,147000000.0,True,18.80594315154573,36.162361623616235,0.0,0,0.0,0.0,False,0.0,0,0.0,LOW,No strong anomaly signal detected,False,LOW
543,Uttar Pradesh,ZIA UR REHMAN,SAMBHAL,147000000,Uttar Pradesh,ZIA UR REHMAN,SAMBHAL,147000000.0,False,False,False,False,False,False,100.0,False,MP_RECORD,True,147000000.0,True,18.80594315154573,36.162361623616235,0.0,0,0.0,0.0,False,0.0,0,0.0,LOW,No strong anomaly signal detected,False,LOW
